date,change,total
2022-02-24,112,112
2022-02-25,99,211
2022-02-26,90,301
2022-02-27,101,402
2022-02-28,71,473
2022-03-01,40,513
2022-03-02,54,567
2022-03-03,90,657
2022-03-04,71,728
2022-03-05,95,823
2022-03-06,135,958
2022-03-07,88,1046
2022-03-08,91,1137
2022-03-09,64,1201
2022-03-10,51,1252
2022-03-11,66,1318
2022-03-12,102,1420
2022-03-13,70,1490
2022-03-14,79,1569
2022-03-15,58,1627
2022-03-16,55,1682
2022-03-17,29,1711
2022-03-18,44,1755
2022-03-19,33,1788
2022-03-20,38,1826
2022-03-21,55,1881
2022-03-22,30,1911
2022-03-23,51,1962
2022-03-24,66,2028
2022-03-25,73,2101
2022-03-26,50,2151
2022-03-27,32,2183
2022-03-28,47,2230
2022-03-29,59,2289
2022-03-30,59,2348
2022-03-31,44,2392
2022-04-01,55,2447
2022-04-02,31,2478
2022-04-03,15,2493
2022-04-04,20,2513
2022-04-05,32,2545
2022-04-06,22,2567
2022-04-07,14,2581
2022-04-08,13,2594
2022-04-09,26,2620
2022-04-10,26,2646
2022-04-11,21,2667
2022-04-12,24,2691
2022-04-13,56,2747
2022-04-14,35,2782
2022-04-15,25,2807
2022-04-16,29,2836
2022-04-17,24,2860
2022-04-18,38,2898
2022-04-19,38,2936
2022-04-20,30,2966
2022-04-21,56,3022
2022-04-22,69,3091
2022-04-23,44,3135
2022-04-24,31,3166
2022-04-25,61,3227
2022-04-26,27,3254
2022-04-27,45,3299
2022-04-28,42,3341
2022-04-29,22,3363
2022-04-30,40,3403
2022-05-01,33,3436
2022-05-02,39,3475
2022-05-03,46,3521
2022-05-04,32,3553
2022-05-05,45,3598
2022-05-06,63,3661
2022-05-07,43,3704
2022-05-08,48,3752
2022-05-09,32,3784
2022-05-10,37,3821
2022-05-11,41,3862
2022-05-12,30,3892
2022-05-13,26,3918
2022-05-14,31,3949
2022-05-15,31,3980
2022-05-16,27,4007
2022-05-17,38,4045
2022-05-18,21,4066
2022-05-19,76,4142
2022-05-20,51,4193
2022-05-21,48,4241
2022-05-22,45,4286
2022-05-23,57,4343
2022-05-24,40,4383
2022-05-25,30,4413
2022-05-26,46,4459
2022-05-27,37,4496
2022-05-28,41,4537
2022-05-29,47,4584
2022-05-30,29,4613
2022-05-31,30,4643
2022-06-01,42,4685
2022-06-02,24,4709
2022-06-03,36,4745
2022-06-04,25,4770
2022-06-05,45,4815
2022-06-06,26,4841
