date,change,total
2022-02-24,109,109
2022-02-25,95,204
2022-02-26,89,293
2022-02-27,99,392
2022-02-28,70,462
2022-03-01,39,501
2022-03-02,49,550
2022-03-03,86,636
2022-03-04,71,707
2022-03-05,94,801
2022-03-06,132,933
2022-03-07,82,1015
2022-03-08,88,1103
2022-03-09,62,1165
2022-03-10,51,1216
2022-03-11,65,1281
2022-03-12,98,1379
2022-03-13,66,1445
2022-03-14,77,1522
2022-03-15,58,1580
2022-03-16,52,1632
2022-03-17,28,1660
2022-03-18,44,1704
2022-03-19,33,1737
2022-03-20,36,1773
2022-03-21,51,1824
2022-03-22,28,1852
2022-03-23,47,1899
2022-03-24,62,1961
2022-03-25,71,2032
2022-03-26,49,2081
2022-03-27,30,2111
2022-03-28,46,2157
2022-03-29,57,2214
2022-03-30,56,2270
2022-03-31,41,2311
2022-04-01,53,2364
2022-04-02,31,2395
2022-04-03,14,2409
2022-04-04,18,2427
2022-04-05,28,2455
2022-04-06,22,2477
2022-04-07,13,2490
2022-04-08,12,2502
2022-04-09,25,2527
2022-04-10,25,2552
2022-04-11,20,2572
2022-04-12,24,2596
2022-04-13,48,2644
2022-04-14,35,2679
2022-04-15,26,2705
2022-04-16,28,2733
2022-04-17,21,2754
2022-04-18,38,2792
2022-04-19,37,2829
2022-04-20,29,2858
2022-04-21,55,2913
2022-04-22,67,2980
2022-04-23,41,3021
2022-04-24,30,3051
2022-04-25,57,3108
2022-04-26,27,3135
2022-04-27,43,3178
2022-04-28,41,3219
2022-04-29,22,3241
2022-04-30,40,3281
2022-05-01,31,3312
2022-05-02,38,3350
2022-05-03,46,3396
2022-05-04,30,3426
2022-05-05,42,3468
2022-05-06,63,3531
2022-05-07,42,3573
2022-05-08,47,3620
2022-05-09,31,3651
2022-05-10,37,3688
2022-05-11,39,3727
2022-05-12,29,3756
2022-05-13,25,3781
2022-05-14,31,3812
2022-05-15,29,3841
2022-05-16,27,3868
2022-05-17,38,3906
2022-05-18,20,3926
2022-05-19,74,4000
2022-05-20,50,4050
2022-05-21,45,4095
2022-05-22,43,4138
2022-05-23,57,4195
2022-05-24,40,4235
2022-05-25,28,4263
2022-05-26,45,4308
2022-05-27,37,4345
2022-05-28,41,4386
2022-05-29,44,4430
2022-05-30,26,4456
2022-05-31,27,4483
2022-06-01,42,4525
2022-06-02,22,4547
2022-06-03,33,4580
2022-06-04,26,4606
2022-06-05,43,4649
2022-06-06,25,4674
2022-06-07,31,4705
2022-06-08,26,4731
2022-06-09,35,4766
2022-06-10,22,4788
2022-06-11,24,4812
2022-06-12,24,4836
2022-06-13,21,4857
2022-06-14,35,4892
2022-06-15,12,4904
2022-06-16,23,4927
2022-06-17,37,4964
2022-06-18,14,4978
2022-06-19,26,5004
2022-06-20,27,5031
2022-06-21,40,5071
2022-06-22,34,5105
2022-06-23,21,5126
2022-06-24,37,5163
2022-06-25,29,5192
2022-06-26,50,5242
2022-06-27,44,5286
2022-06-28,23,5309
2022-06-29,28,5337
2022-06-30,40,5377
2022-07-01,14,5391
2022-07-02,40,5431
2022-07-03,43,5474
2022-07-04,41,5515
2022-07-05,29,5544
2022-07-06,29,5573
2022-07-07,40,5613
2022-07-08,48,5661
2022-07-09,48,5709
2022-07-10,18,5727
2022-07-11,14,5741
2022-07-12,17,5758
2022-07-13,31,5789
2022-07-14,17,5806
2022-07-15,13,5819
2022-07-16,29,5848
2022-07-17,28,5876
2022-07-18,25,5901
2022-07-19,46,5947
2022-07-20,45,5992
2022-07-21,23,6015
2022-07-22,45,6060
2022-07-23,22,6082
2022-07-24,12,6094
2022-07-25,20,6114
2022-07-26,3,6117
2022-07-27,17,6134
2022-07-28,9,6143
2022-07-29,15,6158
2022-07-30,23,6181
2022-07-31,12,6193
2022-08-01,17,6210
2022-08-02,11,6221
2022-08-03,10,6231
2022-08-04,40,6271
2022-08-05,14,6285
2022-08-06,27,6312
2022-08-07,21,6333
2022-08-08,20,6353
2022-08-09,11,6364
2022-08-10,22,6386
2022-08-11,13,6399
2022-08-12,24,6423
2022-08-13,27,6450
2022-08-14,27,6477
2022-08-15,28,6505
2022-08-16,39,6544
2022-08-17,29,6573
2022-08-18,17,6590
2022-08-19,20,6610
2022-08-20,22,6632
2022-08-21,22,6654
2022-08-22,16,6670
2022-08-23,27,6697
2022-08-24,28,6725
2022-08-25,15,6740
2022-08-26,14,6754
2022-08-27,27,6781
2022-08-28,23,6804
2022-08-29,81,6885
2022-08-30,25,6910
2022-08-31,39,6949
2022-09-01,40,6989
2022-09-02,46,7035
2022-09-03,39,7074
2022-09-04,51,7125
2022-09-05,34,7159
2022-09-06,49,7208
2022-09-07,77,7285
2022-09-08,47,7332
2022-09-09,29,7361
2022-09-10,41,7402
2022-09-11,32,7434
2022-09-12,51,7485
2022-09-13,35,7520
2022-09-14,33,7553
2022-09-15,25,7578
2022-09-16,39,7617
2022-09-17,46,7663
2022-09-18,29,7692
2022-09-19,41,7733
2022-09-20,47,7780
2022-09-21,31,7811
2022-09-22,55,7866
2022-09-23,30,7896
2022-09-24,65,7961
2022-09-25,73,8034
2022-09-26,67,8101
2022-09-27,42,8143
2022-09-28,58,8201
2022-09-29,51,8252
2022-09-30,70,8322
2022-10-01,76,8398
2022-10-02,39,8437
2022-10-03,42,8479
2022-10-04,78,8557
2022-10-05,93,8650
2022-10-06,53,8703
2022-10-07,57,8760
2022-10-08,50,8810
2022-10-09,51,8861
2022-10-10,43,8904
2022-10-11,45,8949
2022-10-12,62,9011
2022-10-13,43,9054
2022-10-14,54,9108
2022-10-15,73,9181
2022-10-16,33,9214
2022-10-17,32,9246
2022-10-18,50,9296
2022-10-19,73,9369
2022-10-20,54,9423
2022-10-21,29,9452
2022-10-22,59,9511
2022-10-23,54,9565
2022-10-24,130,9695
2022-10-25,54,9749
2022-10-26,34,9783
2022-10-27,54,9837
2022-10-28,38,9875
2022-10-29,64,9939
2022-10-30,62,10001
2022-10-31,56,10057
2022-11-01,85,10142
2022-11-02,67,10209
2022-11-03,50,10259
2022-11-04,71,10330
2022-11-05,52,10382
2022-11-06,75,10457
2022-11-07,56,10513
2022-11-08,68,10581
2022-11-09,50,10631
2022-11-10,51,10682
2022-11-11,61,10743
2022-11-12,78,10821
2022-11-13,56,10877
2022-11-14,60,10937
2022-11-15,37,10974
2022-11-16,49,11023
2022-11-17,59,11082
2022-11-18,60,11142
2022-11-19,50,11192
2022-11-20,57,11249
2022-11-21,39,11288
2022-11-22,43,11331
2022-11-23,33,11364
2022-11-24,58,11422
2022-11-25,56,11478
2022-11-26,41,11519
2022-11-27,46,11565
2022-11-28,37,11602
2022-11-29,40,11642
2022-11-30,39,11681
2022-12-01,80,11761
2022-12-02,115,11876
2022-12-03,69,11945
2022-12-04,71,12016
2022-12-05,67,12083
2022-12-06,67,12150
2022-12-07,70,12220
2022-12-08,87,12307
2022-12-09,43,12350
2022-12-10,40,12390
2022-12-11,70,12460
2022-12-12,77,12537
2022-12-13,48,12585
2022-12-14,61,12646
2022-12-15,69,12715
2022-12-16,56,12771
2022-12-17,40,12811
2022-12-18,41,12852
2022-12-19,37,12889
2022-12-20,85,12974
2022-12-21,74,13048
2022-12-22,82,13130
2022-12-23,36,13166
2022-12-24,60,13226
2022-12-25,71,13297
2022-12-26,55,13352
2022-12-27,55,13407
2022-12-28,57,13464
2022-12-29,59,13523
2022-12-30,63,13586
2022-12-31,68,13654
2023-01-01,200,13854
2023-01-02,74,13928
2023-01-03,76,14004
2023-01-04,85,14089
2023-01-05,95,14184
2023-01-06,86,14270
2023-01-07,94,14364
2023-01-08,67,14431
2023-01-09,74,14505
2023-01-10,79,14584
2023-01-11,62,14646
2023-01-12,114,14760
2023-01-13,65,14825
2023-01-14,105,14930
2023-01-15,86,15016
2023-01-16,92,15108
2023-01-17,82,15190
2023-01-18,83,15273
2023-01-19,95,15368
2023-01-20,80,15448
2023-01-21,82,15530
2023-01-22,47,15577
2023-01-23,65,15642
2023-01-24,126,15768
2023-01-25,98,15866
2023-01-26,101,15967
2023-01-27,83,16050
2023-01-28,93,16143
2023-01-29,72,16215
2023-01-30,96,16311
2023-01-31,89,16400
2023-02-01,122,16522
2023-02-02,107,16629
2023-02-03,85,16714
2023-02-04,79,16793
2023-02-05,77,16870
2023-02-06,132,17002
2023-02-07,135,17137
2023-02-08,105,17242
2023-02-09,87,17329
2023-02-10,61,17390
2023-02-11,99,17489
2023-02-12,58,17547
2023-02-13,80,17627
2023-02-14,57,17684
2023-02-15,75,17759
2023-02-16,67,17826
2023-02-17,85,17911
2023-02-18,86,17997
2023-02-19,58,18055
2023-02-20,65,18120
2023-02-21,73,18193
2023-02-22,54,18247
2023-02-23,80,18327
2023-02-24,75,18402
2023-02-25,72,18474
2023-02-26,51,18525
2023-02-27,54,18579
2023-02-28,90,18669
2023-03-01,74,18743
2023-03-02,77,18820
2023-03-03,81,18901
2023-03-04,79,18980
2023-03-05,76,19056
2023-03-06,83,19139
2023-03-07,72,19211
2023-03-08,64,19275
2023-03-09,63,19338
2023-03-10,73,19411
2023-03-11,63,19474
2023-03-12,79,19553
2023-03-13,64,19617
2023-03-14,79,19696
2023-03-15,93,19789
2023-03-16,67,19856
2023-03-17,55,19911
2023-03-18,86,19997
2023-03-19,83,20080
2023-03-20,82,20162
2023-03-21,97,20259
2023-03-22,61,20320
2023-03-23,98,20418
2023-03-24,91,20509
2023-03-25,81,20590
2023-03-26,56,20646
2023-03-27,45,20691
2023-03-28,43,20734
2023-03-29,34,20768
2023-03-30,57,20825
2023-03-31,41,20866
2023-04-01,55,20921
2023-04-02,67,20988
2023-04-03,42,21030
2023-04-04,49,21079
2023-04-05,37,21116
2023-04-06,49,21165
2023-04-07,62,21227
2023-04-08,41,21268
2023-04-09,42,21310
2023-04-10,53,21363
2023-04-11,50,21413
2023-04-12,26,21439
2023-04-13,35,21474
2023-04-14,30,21504
2023-04-15,41,21545
2023-04-16,40,21585
2023-04-17,47,21632
2023-04-18,34,21666
2023-04-19,42,21708
2023-04-20,44,21752
2023-04-21,50,21802
2023-04-22,36,21838
2023-04-23,41,21879
2023-04-24,60,21939
2023-04-25,29,21968
2023-04-26,35,22003
2023-04-27,33,22036
2023-04-28,45,22081
